Código,Descripción,Marca,Modelo,costo,IVA,Tarifa 1,,
9788877033277,SOL AMARILLO QUE CALIENTAS EL MUNDO,,,0,4%,3.80,,
9788877033499,Y TODOS DUERMEN,,,0,4%,3.80,,
9788877033505,CANTA EL GALLO,,,0,4%,3.80,,
9788877033536,CUANDO ME ENFADO,,,0,4%,4.76,,
9788877033543,SI VIENE UN DRAGON,,,0,4%,4.76,,
9788877033741,LA BALLENA TIENE DOLOR DE BARRIGA,,,0,4%,3.26,,
9788877033758,DIVERAGUJEROS PARA EL BAÑO VARIOS TITULOS,,,0,4%,2.89,,
9789871337088,HIPO NO NADA,,,0,4%,4.50,,
9789871337095,UNA ESCOBA PARA CADA COSA,,,0,4%,2.40,,
9789871337262,EL ABRAZO DE OTTO,,,0,4%,3.80,,
9789871337293,¿QUIEN VIVE AHI?,,,0,4%,3.37,,
9789871337354,MATEO CONOCE,,,0,4%,3.80,,
9789871337385,EL CORAZON DE CEFE,,,0,4%,3.85,,
9789871337408,¿QUE SIENTE LOLO?,,,0,4%,3.37,,
9789871337422,CUANDO SEA GRANDE,,,0,4%,3.37,,
9789871337446,"CUERO NEGRO, VACA BLANCA",,,0,4%,3.80,,
9789974690387,SI TU FUERAS UNA PREPOSICION,,,0,4%,1.44,,
978997469039,SI TU FUERAS VERBO,,,0,4%,1.44,,
978997469040,SI TU FUERAS ADJETIVO,,,0,4%,1.44,,
978997469041,SI TU FUERAS SIGNO MAS,,,0,4%,1.44,,
9789974690424,SI TU FUERAS...CIRCULO,,,0,4%,1.44,,
978997469043,SI TU FUERAS...SIGNO MENOS,,,0,4%,1.44,,
9789974690448,SI TU FUERAS UN SUSTANTIVO,,,0,4%,1.44,,
9789974690455,SI TU FUERAS UN TRIANGULO,,,0,4%,1.44,,
9789974805491,¿ POR QUÉ MUCHOS SIMPÁTICOS ANIMALES SE COMPORTAN,,,0,4%,2.89,,
CHOF,EL GRAN CHOFF,,,0,4%,4.76,,
CUBING001,CUBOS PARA CONSTRUIR PALABRAS,,,0,21%,5.74,,
DIVERAGUJBÑ,DIVERAGUJEROS PARA EL BAÑO,,,0,21%,2.89,,
LULUGENERAL,TITULOS VARIOS LULU,,,0,21%,3.20,,
MINILIBAGUJ,MINILIBROS AGUJEROS,,,0,21%,0.83,,
MIRA MIRA VAR,MIRA MIRA VARIOS TITULOS,,,0,21%,4.76,,
PACK01,"PACK 10 TITULOS COLECCION MIRA, MIRA",,,0,4%,38.41,,
PACKHADAL,PACK DOS TITULOS HADA LOLITA,,,0,4%,7.64,,
PACKTOCA2,PACK TOCA TOCA,,,0,4%,7.64,,
PELREN00001,PELUCHE CANTARIN RENO ,,,0,21%,2.75,,
PETERPAN001,PETER PAN Y OTROS CUENTOS ESPAÑOL-INGLES,,,0,4%,4.33,,
RENONAV2014,PELUCHE INFANTIL RENO CON CANCIONES NAVIDEÑAS,,,0,4%,4.92,,
SUSNGK,SUSCRIPCIÓN DOS AÑOS NATIONAL GEOGRAPHIC KIDS ,,,0,4%,35.53,,
SUS-NGK,SUSCRIPCIÓN ANUAL NATIONAL GEOGRAPHIC KIDS ,,,0,4%,19.14,,
